location,gdp_per_capita,extreme_poverty,life_expectancy,human_development_index,population,population_density,new_cases_smoothed_per_million,new_deaths_smoothed_per_million,icu_patients_per_million,hosp_patients_per_million,hosp_patients_per_million,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,median_age,excess_mortality
Ghana,4227.63,12.0,64.07,0.611,31732128.0,126.719,1.1800714285714287,0.06457142857142857,,,,2.6366666666666667,563.9285714285714,,21.1,
Greece,24574.382,1.5,82.24,0.888,10370747.0,83.479,626.1391428571429,5.832714285714286,,,,62.19785714285714,3888.214285714286,80.09,45.3,
Guatemala,7423.808,8.7,74.3,0.663,18249868.0,157.834,33.09128571428571,2.3260714285714283,,,,19.354615384615386,2401.6153846153848,46.76,22.9,
Guinea,1998.926,35.3,61.6,0.477,13497237.0,51.755,0.26092857142857145,0.0105,,,,5.73,971.3333333333334,61.029090909090904,19.0,
Guinea-Bissau,1548.675,67.1,58.32,0.48,2015490.0,66.191,9.168714285714286,0.11664285714285715,,,,0.885,6547.916666666667,,19.4,
Haiti,1653.173,23.5,64.0,0.51,11541683.0,398.448,4.111857142857143,0.22714285714285712,,,,0.36999999999999994,69.375,,24.3,
Honduras,4541.795,16.0,75.27,0.634,10062994.0,82.805,10.416142857142857,0.7342142857142857,,,,35.16,5179.875,63.89,24.9,
Hungary,26777.561,0.5,76.88,0.854,9634162.0,108.043,639.8975714285715,9.727357142857143,,463.4549,463.4549,59.88333333333334,3214.818181818182,,43.4,
Iceland,46482.958,0.2,82.99,0.949,343360.0,3.404,415.28357142857146,0.11885714285714286,,56.791666666666664,56.791666666666664,81.48333333333333,3837.5714285714284,28.889999999999997,37.3,
India,6426.674,21.2,69.66,0.645,1393409033.0,450.419,8.225928571428572,0.26507142857142857,,,,25.854285714285712,3233.8571428571427,41.37181818181818,28.2,
Indonesia,11188.744,5.7,71.72,0.718,276361788.0,145.725,1.617357142857143,0.061857142857142854,,,,29.71357142857143,5332.428571428572,57.87,29.3,
Iran,19082.62,0.2,76.68,0.783,85028760.0,49.831,91.92014285714286,1.5345714285714285,,,,47.10666666666666,10447.888888888889,72.69,32.4,33.6
Iraq,15663.986,2.5,70.6,0.674,41179351.0,88.125,23.4145,0.5910714285714286,,,,9.89,2221.6363636363635,75.93,20.0,
Ireland,67335.293,0.2,82.3,0.955,4982904.0,69.874,760.6867857142857,1.8103571428571428,17.680500000000002,104.0559,104.0559,75.54692307692308,466.38461538461536,48.15,38.7,
Israel,33132.32,0.5,82.97,0.919,9291000.0,402.606,64.3095,0.3537142857142857,12.766428571428571,25.3785,25.3785,61.916428571428575,772.5,55.21636363636364,30.6,
Italy,35220.084,2.0,83.51,0.892,60367471.0,205.859,109.21314285714286,0.8303571428571429,6.994,63.3735,63.3735,72.38071428571429,2842.1428571428573,71.3,47.9,
Jordan,8337.49,0.1,74.53,0.729,10269022.0,109.285,208.73164285714284,1.3563571428571428,,,,35.050769230769234,1282.0,17.59,23.2,
Kazakhstan,24055.588,0.1,73.6,0.825,18994958.0,6.681,68.67757142857143,1.418642857142857,,,,40.83428571428571,2086.0714285714284,71.3,30.6,
Kenya,2993.028,36.8,66.7,0.601,54985702.0,87.324,1.2619285714285715,0.04978571428571429,,,,3.65875,902.9230769230769,,20.0,
Kyrgyzstan,3393.474,1.4,71.45,0.697,6628347.0,32.333,11.645928571428572,0.3708571428571429,,,,12.188571428571427,1356.2142857142858,49.07,26.3,
Laos,6397.36,22.7,67.92,0.613,7379358.0,29.715,136.60421428571428,0.3553571428571428,,,,,,,24.4,
Latvia,25063.846,0.7,75.29,0.866,1866934.0,31.212,790.0817142857143,19.06978571428571,,664.4049,664.4049,58.706923076923076,5571.384615384615,70.37,43.9,
Lesotho,2851.153,59.6,54.33,0.527,2159067.0,73.562,1.9185714285714286,0.08957142857142857,,,,,,43.52,22.2,
Liberia,752.788,38.6,64.1,0.48,5180208.0,49.127,0.05928571428571429,0.0,,,,8.81,1724.7857142857142,44.44,19.2,
Lithuania,29524.265,0.7,75.93,0.882,2689862.0,45.135,907.8077142857143,11.794142857142857,,645.0145,645.0145,64.86615384615385,2973.5384615384614,46.3,43.5,
Luxembourg,94277.965,0.2,82.25,0.916,634814.0,231.447,317.1747142857143,1.3982142857142856,21.1085,70.4143,70.4143,65.91,3121.3,46.3,39.7,
Madagascar,1416.44,77.6,67.04,0.528,28427333.0,43.951,0.10907142857142858,0.0014285714285714286,,,,1.43,49.0,26.85,19.6,
Malawi,1095.042,71.4,64.26,0.483,19647681.0,197.519,0.17821428571428571,0.0036428571428571426,,,,2.9,256.0769230769231,,18.1,
Malaysia,26808.164,0.1,76.16,0.81,32776195.0,96.254,164.4122857142857,1.6263571428571428,16.44,137.13053846153846,137.13053846153846,75.52,2764.5714285714284,,29.9,
Malta,36513.323,0.2,82.53,0.895,516100.0,1454.037,81.04364285714287,0.07914285714285715,5.489999999999999,24.94675,24.94675,83.36384615384615,4126.0,43.52,42.4,
Mauritania,3597.633,6.0,64.92,0.546,4775110.0,4.289,12.443285714285713,0.16485714285714284,,,,13.886000000000001,1713.142857142857,55.0,20.3,
Mauritius,20292.745,0.5,74.99,0.804,1273428.0,622.962,61.02778571428571,3.4858571428571428,,,,68.19,1460.7142857142858,28.7,37.4,
Mexico,17336.469,2.5,75.05,0.779,130262220.0,66.444,20.848785714285714,1.5199285714285715,,,,48.392222222222216,2443.214285714286,35.19,29.3,
Micronesia (country),3299.464,16.0,67.88,0.62,116255.0,150.777,0.0,0.0,,,,,,,23.0,
Moldova,5189.972,0.2,71.9,0.75,4024025.0,123.655,261.3842142857143,12.879142857142856,,,,22.33727272727273,831.2142857142857,29.63,37.6,
Mongolia,11840.846,0.5,69.87,0.737,3329282.0,1.98,273.5988571428571,3.0649285714285712,,,,64.39099999999999,160.92857142857142,37.04,28.6,
Montenegro,16409.288,1.0,76.88,0.829,628051.0,46.28,868.9337142857142,11.8605,,,,39.48833333333334,1582.142857142857,,39.1,
Morocco,7485.013,1.0,76.68,0.686,37344787.0,80.08,3.789357142857143,0.13085714285714287,,,,60.1,1427.6923076923076,30.56,29.6,
Mozambique,1136.103,62.9,60.85,0.456,32163045.0,37.728,0.30957142857142855,0.010214285714285714,,,,8.665,5293.785714285715,48.15,17.7,
Myanmar,5591.597,6.4,67.13,0.583,54806014.0,81.721,16.752285714285716,0.3085,,,,16.25,5537.555555555556,85.19,29.1,
Namibia,9541.808,13.4,63.71,0.646,2587344.0,3.078,3.3404285714285713,0.27999999999999997,,,,10.79,969.5,32.41,22.0,
Nepal,2442.804,15.0,70.78,0.602,29674920.0,204.43,10.437785714285713,0.152,,,,25.375,1515.5,52.65181818181818,25.0,
Nicaragua,5321.444,3.2,74.48,0.66,6702379.0,51.667,4.2507142857142854,0.021,,,,8.4,3924.0,8.33,27.3,
Niger,926.0,44.5,62.42,0.394,25130810.0,16.955,0.9536428571428571,0.05357142857142857,,,,1.82,148.0,16.67,15.1,
North Macedonia,13111.214,5.0,75.8,0.774,2082661.0,82.6,229.26414285714284,6.6927142857142865,,,,37.63,1480.25,,39.1,
Norway,64800.057,0.2,82.4,0.957,5465629.0,14.462,286.527,0.7487857142857143,,34.12233333333333,34.12233333333333,68.98,604.7692307692307,20.37,39.7,
Pakistan,5034.708,4.0,67.27,0.557,225199929.0,255.573,1.9362142857142857,0.047214285714285716,,,,20.866666666666667,4106.714285714285,31.94,23.5,
Palestine,4449.898,1.0,74.05,0.708,5222756.0,778.202,45.70471428571428,1.0257857142857143,,,,25.3,2082.0,25.0,20.4,
Panama,22267.037,2.2,78.51,0.815,4381583.0,55.133,32.97192857142857,0.46335714285714286,,,,54.565384615384616,927.7857142857143,58.33,29.7,
Paraguay,8827.01,1.7,74.25,0.728,7219641.0,17.144,7.968714285714285,0.6544285714285715,,,,33.855000000000004,4514.75,35.19,26.5,
Peru,12236.706,3.5,76.74,0.777,33359415.0,25.129,29.34557142857143,0.8563571428571429,,,,49.151538461538465,6600.538461538462,,29.1,12.91
Portugal,27936.896,0.5,82.05,0.864,10167923.0,112.371,125.542,0.6893571428571429,6.3829,37.3035,37.3035,87.68,375.3636363636364,,46.2,
Romania,23313.199,5.7,76.05,0.828,19127772.0,85.129,329.33042857142857,19.341,96.5462857142857,,,35.04,4131.307692307692,,43.0,
Russia,24765.954,0.1,72.58,0.824,145912022.0,8.823,263.3762142857143,8.066,,,,34.85666666666667,4637.285714285715,,39.6,
Rwanda,1854.211,56.0,69.02,0.543,13276517.0,494.869,2.1943571428571427,0.038357142857142854,,,,19.19666666666667,9326.42857142857,51.85,20.3,
Sao Tome and Principe,3052.714,32.3,70.39,0.625,223364.0,212.841,5.3452142857142855,0.0,,,,12.79,318.0,,18.7,
Senegal,2470.58,38.0,67.94,0.512,17196308.0,82.328,0.14850000000000002,0.015000000000000001,,,,,,21.3,18.7,
Seychelles,26382.287,1.1,73.4,0.796,98910.0,208.354,314.2413571428571,2.476,,,,78.06666666666666,3404.076923076923,65.74,36.2,
Sierra Leone,1390.3,52.2,54.7,0.452,8141343.0,104.7,0.02135714285714286,0.0,,,,3.72,2100.5,29.63,19.1,
Slovakia,30155.152,0.7,77.54,0.86,5460726.0,113.128,1443.3847857142857,6.8970714285714285,,389.91555555555556,389.91555555555556,42.550000000000004,716.2142857142857,29.170000000000005,41.2,
Solomon Islands,2205.923,25.1,73.0,0.567,703995.0,21.841,0.0,0.0,,,,5.05,1901.0,27.780000000000005,20.8,
South Africa,12294.876,18.9,64.13,0.709,60041996.0,46.754,4.585785714285715,0.44971428571428573,,,,22.037272727272725,1863.8461538461538,45.37,27.3,7.09
South Korea,35938.374,0.2,83.03,0.916,51305184.0,527.967,44.26792857142857,0.3667142857142857,,,,77.70285714285714,4543.357142857143,39.35,43.4,
Spain,34272.36,1.0,83.56,0.904,46745211.0,93.105,65.01714285714286,0.4857857142857143,8.463,40.3592,40.3592,80.12875,2866.6923076923076,,45.5,
Sri Lanka,11669.077,0.7,76.98,0.782,21497306.0,341.955,34.45,0.8521428571428571,,,,63.33538461538462,1860.7857142857142,53.11636363636364,34.1,
Sweden,46949.283,0.5,82.8,0.945,10160159.0,24.718,77.28864285714285,0.40700000000000003,3.5533,25.905099999999997,25.905099999999997,68.58666666666666,6030.071428571428,19.44,41.0,
Tajikistan,2896.913,4.8,71.1,0.668,9749625.0,64.281,0.017714285714285714,0.0,,,,22.605,1398.4,29.63,23.3,
Tanzania,2683.304,49.1,65.46,0.529,61498438.0,64.699,0.056285714285714286,0.0007142857142857143,,,,,,8.33,17.7,
Thailand,16277.671,0.1,77.15,0.777,69950844.0,135.132,104.89035714285714,0.8188571428571428,,,,50.64,9440.0,55.09,40.1,
