total_cases,total_deaths,total_vaccinations,people_vaccinated,people_fully_vaccinated,date
356181,8026,1751087.0,1272513.0,478574.0,2021-05-31
356141,8014,1748726.0,1270392.0,478334.0,2021-05-30
355955,8002,1722430.0,1254659.0,467771.0,2021-05-29
358379,8123,2042889.0,1386564.0,656325.0,2021-06-11
358245,8110,1986929.0,1370306.0,616623.0,2021-06-10
358061,8103,1947784.0,1357103.0,590681.0,2021-06-09
357786,8096,1920656.0,1345741.0,574915.0,2021-06-08
357608,8091,1903673.0,1338154.0,565519.0,2021-06-07
357565,8086,1902092.0,1337469.0,564623.0,2021-06-06
359115,8169,2318428.0,1442925.0,875503.0,2021-06-19
359031,8168,2272244.0,1435788.0,836456.0,2021-06-18
358918,8165,2219196.0,1428340.0,790856.0,2021-06-17
358823,8162,2196552.0,1427566.0,768986.0,2021-06-16
358677,8160,2164874.0,1419924.0,744950.0,2021-06-15
358581,8152,2139816.0,1413933.0,725833.0,2021-06-14
358504,8132,2087157.0,1401647.0,685510.0,2021-06-12
359403,8192,2424695.0,1462287.0,962408.0,2021-06-24
359302,8190,2389633.0,1456750.0,932833.0,2021-06-23
359259,8188,2379658.0,1455647.0,924011.0,2021-06-22
359184,8182,2359472.0,1450798.0,908674.0,2021-06-21
359173,8174,2355050.0,1449819.0,905231.0,2021-06-20
361488,8236,2906350.0,1584407.0,1321943.0,2021-07-17
359975,8209,2568877.0,1488759.0,1080118.0,2021-07-01
359872,8206,2573481.0,1488707.0,1084774.0,2021-06-30
359736,8205,2545040.0,1482581.0,1062459.0,2021-06-29
359666,8202,2529612.0,1478516.0,1051096.0,2021-06-28
359652,8200,2524626.0,1476642.0,1047984.0,2021-06-27
359607,8197,2502912.0,1472708.0,1030204.0,2021-06-26
359521,8196,2468051.0,1467772.0,1000279.0,2021-06-25
360593,8226,2741251.0,1526876.0,1214375.0,2021-07-08
360483,8224,2714126.0,1518820.0,1195306.0,2021-07-07
360342,8221,2687515.0,1511987.0,1175528.0,2021-07-06
360246,8219,2669307.0,1508083.0,1161224.0,2021-07-05
360237,8218,2664327.0,1506223.0,1158104.0,2021-07-04
360181,8215,2633195.0,1500932.0,1132263.0,2021-07-03
360067,8212,2601390.0,1494731.0,1106659.0,2021-07-02
361218,8233,2870866.0,1569371.0,1301495.0,2021-07-15
361079,8233,2848709.0,1562081.0,1286628.0,2021-07-14
360924,8231,2833080.0,1557706.0,1275374.0,2021-07-13
360841,8229,2817143.0,1552689.0,1264454.0,2021-07-12
360826,8227,2814234.0,1550632.0,1263602.0,2021-07-11
360768,8227,2792456.0,1543689.0,1248767.0,2021-07-10
360680,8226,2769141.0,1534856.0,1234285.0,2021-07-09
362496,8245,2997335.0,1617306.0,1380029.0,2021-07-24
362305,8245,2980716.0,1610989.0,1369727.0,2021-07-23
362129,8245,2965335.0,1604513.0,1360822.0,2021-07-22
361950,8244,2948798.0,1599146.0,1349652.0,2021-07-21
361759,8243,2930768.0,1593590.0,1337178.0,2021-07-20
361613,8240,2917001.0,1589579.0,1327422.0,2021-07-19
361595,8238,2915530.0,1588753.0,1326777.0,2021-07-18
361488,8236,2906350.0,1584407.0,1321943.0,2021-07-17
363615,8259,3068657.0,1643402.0,1425255.0,2021-07-31
363397,8254,3057321.0,1639095.0,1418226.0,2021-07-30
363227,8250,3042701.0,1632151.0,1410550.0,2021-07-29
363039,8249,3031563.0,1628084.0,1403479.0,2021-07-28
362841,8247,3018451.0,1623475.0,1394976.0,2021-07-27
362648,8247,3008752.0,1620439.0,1388313.0,2021-07-26
362621,8245,3005376.0,1620106.0,1385270.0,2021-07-25
365089,8273,3125230.0,1663029.0,1517761.0,2021-08-09
365045,8272,3123548.0,1662342.0,1516479.0,2021-08-08
364832,8271,3118842.0,1660504.0,1513106.0,2021-08-07
364599,8270,3110259.0,1657443.0,1506924.0,2021-08-06
364491,8270,3109586.0,1656936.0,1506706.0,2021-08-05
364244,8267,3099209.0,1653601.0,1498932.0,2021-08-04
363973,8267,3091467.0,1650326.0,1493859.0,2021-08-03
363787,8266,3080719.0,1647156.0,1433563.0,2021-08-02
363758,8263,3078364.0,1646466.0,1431898.0,2021-08-01
366724,8282,3166258.0,1678479.0,1546645.0,2021-08-14
366357,8280,3157783.0,1674878.0,1540880.0,2021-08-13
366049,8278,3148900.0,1671367.0,1534745.0,2021-08-12
365716,8275,3140874.0,1667896.0,1529492.0,2021-08-11
365335,8275,3131892.0,1665334.0,1522586.0,2021-08-10
369765,8301,3212084.0,1697152.0,1578699.0,2021-08-22
369392,8298,3208101.0,1694827.0,1576504.0,2021-08-21
368887,8295,3200638.0,1691778.0,1571296.0,2021-08-20
368419,8294,3191520.0,1688016.0,1564842.0,2021-08-19
367933,8291,3182592.0,1684554.0,1558636.0,2021-08-18
367409,8288,3176538.0,1682143.0,1554491.0,2021-08-17
367068,8285,3170096.0,1679731.0,1549881.0,2021-08-16
367022,8283,3169677.0,1679544.0,1549488.0,2021-08-15
373191,8325,3257094.0,1718925.0,1606701.0,2021-08-29
372814,8324,3253119.0,1716520.0,1604377.0,2021-08-28
372219,8318,3244822.0,1712434.0,1599278.0,2021-08-27
371623,8316,3236170.0,1708154.0,1594019.0,2021-08-26
370985,8310,3227814.0,1703929.0,1589077.0,2021-08-25
370308,8306,3219595.0,1700378.0,1583703.0,2021-08-24
369838,8303,3212783.0,1697583.0,1579035.0,2021-08-23
