total_cases,total_deaths,total_vaccinations,people_vaccinated,people_fully_vaccinated,date
963,6,0.0,0.0,0.0,2020-04-01
867,6,0.0,0.0,0.0,2020-03-31
790,6,0.0,0.0,0.0,2020-03-30
713,6,0.0,0.0,0.0,1970-01-01
657,5,0.0,0.0,0.0,2020-03-29
586,3,0.0,0.0,0.0,2020-03-27
1407,20,0.0,0.0,0.0,2020-04-09
1343,19,0.0,0.0,0.0,2020-04-08
1282,18,0.0,0.0,0.0,2020-04-07
1222,16,0.0,0.0,0.0,2020-04-06
1182,15,0.0,0.0,0.0,2020-04-05
1832,39,0.0,0.0,0.0,2020-04-18
1814,36,0.0,0.0,0.0,2020-04-17
1791,35,0.0,0.0,0.0,2020-04-16
1741,33,0.0,0.0,0.0,2020-04-15
1704,31,0.0,0.0,0.0,2020-04-14
1650,25,0.0,0.0,0.0,2020-04-13
1600,23,0.0,0.0,0.0,2020-04-12
1534,21,0.0,0.0,0.0,2020-04-11
1495,21,0.0,0.0,0.0,2020-04-10
2030,55,0.0,0.0,0.0,2020-04-26
2016,54,0.0,0.0,0.0,2020-04-25
2009,51,0.0,0.0,0.0,2020-04-24
1981,50,0.0,0.0,0.0,2020-04-23
1950,48,0.0,0.0,0.0,2020-04-22
1908,48,0.0,0.0,0.0,2020-04-21
1881,47,0.0,0.0,0.0,2020-04-20
1871,47,0.0,0.0,0.0,2020-04-19
2101,80,0.0,0.0,0.0,2020-05-04
2096,79,0.0,0.0,0.0,2020-05-03
2088,77,0.0,0.0,0.0,2020-05-02
2085,75,0.0,0.0,0.0,2020-05-01
2076,69,0.0,0.0,0.0,2020-04-30
2062,67,0.0,0.0,0.0,2020-04-29
2047,63,0.0,0.0,0.0,2020-04-28
2039,59,0.0,0.0,0.0,2020-04-27
2213,94,0.0,0.0,0.0,2020-05-13
2207,91,0.0,0.0,0.0,2020-05-12
2196,91,0.0,0.0,0.0,2020-05-11
2187,90,0.0,0.0,0.0,2020-05-10
2176,87,0.0,0.0,0.0,2020-05-09
2161,86,0.0,0.0,0.0,2020-05-08
2125,86,0.0,0.0,0.0,2020-05-07
2119,85,0.0,0.0,0.0,2020-05-06
2112,83,0.0,0.0,0.0,2020-05-05
2237,97,0.0,0.0,0.0,2020-05-21
2234,96,0.0,0.0,0.0,2020-05-20
2232,96,0.0,0.0,0.0,2020-05-19
2228,95,0.0,0.0,0.0,2020-05-18
2226,95,0.0,0.0,0.0,2020-05-17
2224,95,0.0,0.0,0.0,2020-05-16
2222,95,0.0,0.0,0.0,2020-05-15
2221,94,0.0,0.0,0.0,2020-05-14
2246,103,0.0,0.0,0.0,2020-05-30
2245,103,0.0,0.0,0.0,2020-05-29
2245,102,0.0,0.0,0.0,2020-05-28
2244,101,0.0,0.0,0.0,2020-05-27
2244,101,0.0,0.0,0.0,2020-05-26
2244,100,0.0,0.0,0.0,2020-05-25
2244,99,0.0,0.0,0.0,2020-05-24
2243,99,0.0,0.0,0.0,2020-05-23
2243,99,0.0,0.0,0.0,2020-05-22
2247,104,0.0,0.0,0.0,2020-06-08
2247,104,0.0,0.0,0.0,2020-06-07
2247,104,0.0,0.0,0.0,2020-06-06
2247,103,0.0,0.0,0.0,2020-06-05
2247,103,0.0,0.0,0.0,2020-06-04
2246,103,0.0,0.0,0.0,2020-06-03
2246,103,0.0,0.0,0.0,2020-06-02
2246,103,0.0,0.0,0.0,2020-06-01
2246,103,0.0,0.0,0.0,2020-05-31
2255,107,0.0,0.0,0.0,2020-06-16
2254,107,0.0,0.0,0.0,2020-06-15
2252,107,0.0,0.0,0.0,2020-06-14
2251,107,0.0,0.0,0.0,2020-06-13
2249,107,0.0,0.0,0.0,2020-06-12
2249,106,0.0,0.0,0.0,2020-06-11
2249,106,0.0,0.0,0.0,2020-06-10
2247,106,0.0,0.0,0.0,2020-06-09
2483,107,0.0,0.0,0.0,2020-06-25
2388,107,0.0,0.0,0.0,2020-06-24
2366,107,0.0,0.0,0.0,2020-06-23
2336,107,0.0,0.0,0.0,2020-06-22
2317,107,0.0,0.0,0.0,2020-06-21
2299,107,0.0,0.0,0.0,2020-06-20
2280,107,0.0,0.0,0.0,2020-06-19
2269,107,0.0,0.0,0.0,2020-06-18
2258,107,0.0,0.0,0.0,2020-06-17
3094,113,0.0,0.0,0.0,2020-07-04
3008,112,0.0,0.0,0.0,2020-07-03
2912,110,0.0,0.0,0.0,2020-07-02
2831,108,0.0,0.0,0.0,2020-07-01
2777,107,0.0,0.0,0.0,2020-06-30
2725,107,0.0,0.0,0.0,2020-06-29
2691,107,0.0,0.0,0.0,2020-06-28
2624,107,0.0,0.0,0.0,2020-06-27
2539,107,0.0,0.0,0.0,2020-06-26
3775,119,0.0,0.0,0.0,2020-07-13
3722,119,0.0,0.0,0.0,2020-07-12
3672,118,0.0,0.0,0.0,2020-07-11
3532,117,0.0,0.0,0.0,2020-07-10
3416,115,0.0,0.0,0.0,2020-07-09
3325,114,0.0,0.0,0.0,2020-07-08
3272,113,0.0,0.0,0.0,2020-07-07
3220,113,0.0,0.0,0.0,2020-07-06
3151,113,0.0,0.0,0.0,2020-07-05
4530,125,0.0,0.0,0.0,2020-07-22
4422,123,0.0,0.0,0.0,2020-07-21
4370,122,0.0,0.0,0.0,2020-07-20
4345,120,0.0,0.0,0.0,2020-07-19
4253,120,0.0,0.0,0.0,2020-07-18
4137,120,0.0,0.0,0.0,2020-07-17
4039,120,0.0,0.0,0.0,2020-07-16
3953,120,0.0,0.0,0.0,2020-07-15
3827,120,0.0,0.0,0.0,2020-07-14
5138,145,0.0,0.0,0.0,2020-07-31
5071,144,0.0,0.0,0.0,1970-01-01
4993,141,0.0,0.0,0.0,2020-07-29
4922,140,0.0,0.0,0.0,2020-07-28
4881,139,0.0,0.0,0.0,2020-07-27
4857,136,0.0,0.0,0.0,2020-07-26
4792,133,0.0,0.0,0.0,2020-07-25
4715,128,0.0,0.0,0.0,2020-07-24
4634,128,0.0,0.0,0.0,2020-07-23
5543,157,0.0,0.0,0.0,2020-08-08
5466,155,0.0,0.0,0.0,2020-08-07
5404,155,0.0,0.0,0.0,2020-08-06
5376,154,0.0,0.0,0.0,2020-08-05
5318,154,0.0,0.0,0.0,2020-08-04
5294,153,0.0,0.0,0.0,2020-08-03
5260,149,0.0,0.0,0.0,2020-08-02
5224,145,0.0,0.0,0.0,2020-08-01
6571,166,0.0,0.0,0.0,2020-08-16
6420,165,0.0,0.0,0.0,2020-08-15
6258,163,0.0,0.0,0.0,2020-08-14
6050,161,0.0,0.0,0.0,2020-08-13
5870,160,0.0,0.0,0.0,2020-08-12
5740,160,0.0,0.0,0.0,2020-08-11
5649,158,0.0,0.0,0.0,2020-08-10
5604,157,0.0,0.0,0.0,2020-08-09
8311,173,0.0,0.0,0.0,2020-08-24
8175,171,0.0,0.0,0.0,2020-08-23
7900,170,0.0,0.0,0.0,2020-08-22
7594,169,0.0,0.0,0.0,2020-08-21
7329,168,0.0,0.0,0.0,2020-08-20
7074,168,0.0,0.0,0.0,2020-08-19
6855,166,0.0,0.0,0.0,2020-08-18
6656,166,0.0,0.0,0.0,2020-08-17
10725,191,0.0,0.0,0.0,2020-09-02
10414,187,0.0,0.0,0.0,2020-09-01
10269,186,0.0,0.0,0.0,2020-08-31
10123,184,0.0,0.0,0.0,2020-08-30
9861,183,0.0,0.0,0.0,2020-08-29
9549,180,0.0,0.0,0.0,2020-08-28
9192,177,0.0,0.0,0.0,2020-08-27
8888,175,0.0,0.0,0.0,2020-08-26
8530,175,0.0,0.0,0.0,2020-08-25
12917,208,0.0,0.0,0.0,2020-09-10
12626,206,0.0,0.0,0.0,2020-09-09
12285,203,0.0,0.0,0.0,2020-09-08
12081,201,0.0,0.0,0.0,2020-09-07
11964,198,0.0,0.0,0.0,2020-09-06
11739,197,0.0,0.0,0.0,2020-09-05
11428,195,0.0,0.0,0.0,2020-09-04
11094,194,0.0,0.0,0.0,2020-09-03
14725,244,0.0,0.0,0.0,2020-09-19
14513,244,0.0,0.0,0.0,2020-09-18
14279,238,0.0,0.0,0.0,2020-09-17
14029,236,0.0,0.0,0.0,2020-09-16
13749,230,0.0,0.0,0.0,2020-09-15
13598,227,0.0,0.0,0.0,2020-09-14
13533,224,0.0,0.0,0.0,2020-09-13
13368,218,0.0,0.0,0.0,2020-09-12
13107,211,0.0,0.0,0.0,2020-09-11
16007,269,0.0,0.0,0.0,2020-09-26
15795,266,0.0,0.0,0.0,2020-09-25
15572,261,0.0,0.0,0.0,2020-09-24
15340,257,0.0,0.0,0.0,2020-09-23
15136,255,0.0,0.0,0.0,2020-09-22
14992,253,0.0,0.0,0.0,2020-09-21
14922,248,0.0,0.0,0.0,2020-09-20
17659,298,0.0,0.0,0.0,2020-10-04
17401,293,0.0,0.0,0.0,2020-10-03
17160,291,0.0,0.0,0.0,2020-10-02
16827,284,0.0,0.0,0.0,2020-10-01
16593,280,0.0,0.0,0.0,2020-09-30
16380,275,0.0,0.0,0.0,2020-09-29
16245,272,0.0,0.0,0.0,2020-09-28
16197,272,0.0,0.0,0.0,2020-09-27
19932,317,0.0,0.0,0.0,2020-10-10
19446,313,0.0,0.0,0.0,2020-10-09
18989,310,0.0,0.0,0.0,2020-10-08
18447,309,0.0,0.0,0.0,2020-10-07
18084,304,0.0,0.0,0.0,2020-10-06
17797,300,0.0,0.0,0.0,2020-10-05
20621,327,0.0,0.0,0.0,2020-10-12
20440,324,0.0,0.0,0.0,2020-10-11
28287,393,0.0,0.0,0.0,2020-10-21
26863,382,0.0,0.0,0.0,2020-10-20
25973,374,0.0,0.0,0.0,2020-10-19
25580,363,0.0,0.0,0.0,2020-10-18
24761,355,0.0,0.0,0.0,2020-10-17
23665,345,0.0,0.0,0.0,2020-10-16
22534,344,0.0,0.0,0.0,2020-10-15
21741,334,0.0,0.0,0.0,2020-10-14
20993,330,0.0,0.0,0.0,2020-10-13
46547,531,0.0,0.0,0.0,2020-10-30
43775,511,0.0,0.0,0.0,2020-10-29
40999,493,0.0,0.0,0.0,2020-10-28
